DATE,2ssd0.5std,5ssd0.5std,10ssd0.5std,2ssd1.0std,5ssd1.0std,10ssd1.0std,2ssd1.5std,5ssd1.5std,10ssd1.5std,2ssd2.0std,5ssd2.0std,10ssd2.0std
2001-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-15,1.0061349693251533,1.0024539877300613,1.0033072300508805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-16,1.0061349693251533,1.0024539877300613,1.0033072300508805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-17,1.0061349693251533,1.0024539877300613,1.0034764347886131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-18,1.0061349693251533,1.0024539877300613,1.0034764347886131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-19,1.0061349693251533,1.0024539877300613,1.0060405374097607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-22,1.0061349693251533,1.0024539877300613,1.0060405374097607,1.0,1.0,1.0,1.0,0.999900049961815,0.9999500249809075,1.0,1.0,1.0
2001-01-23,1.0061349693251533,1.0024539877300613,1.0060405374097607,1.0,1.0,1.0,1.0,0.999900049961815,0.9999500249809075,1.0,1.0,1.0
2001-01-24,1.0061349693251533,1.0024539877300613,1.0060405374097607,1.0,1.0,1.0,1.0,0.999900049961815,0.9999500249809075,1.0,1.0,1.0
2001-01-25,1.0061349693251533,1.0024539877300613,1.0060405374097607,1.0,1.0,1.0,1.0,0.999900049961815,0.9999500249809075,1.0,1.0,1.0
2001-01-26,1.0061349693251533,1.0024539877300613,1.0060405374097607,1.0,1.0,1.0,1.0,0.999900049961815,0.9999500249809075,1.0,1.0,1.0
