DATE,2ssd0.5std,5ssd0.5std,10ssd0.5std,2ssd1.0std,5ssd1.0std,10ssd1.0std,2ssd1.5std,5ssd1.5std,10ssd1.5std,2ssd2.0std,5ssd2.0std,10ssd2.0std
2001-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-15,0.9972602451453324,0.998904098058133,0.9977455643874282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-16,0.9980542431316111,0.9992222207733238,0.999302753626109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-17,1.0015671322670885,1.000629020817485,1.001116324890667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-18,0.9974511046838132,0.9989841518845408,0.9993436916509325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-19,0.99485463889837,0.9979439692997952,1.000208227930753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-22,0.9896013751260507,0.995836138589358,0.9993104331210475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-23,0.9878685174663039,0.9933978669414743,0.9984032818148586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-24,0.9873391026374685,0.9958356975237292,1.001621281654024,0.9927930863469221,0.9971172345387688,0.9985586172693844,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-25,0.9881165359466723,0.9964629963633527,1.002094489133897,0.9927930863469221,0.9971172345387688,0.9985586172693844,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-26,0.9895459880653269,0.9970396069510696,1.0016941886326844,0.9875393308891791,0.9950065791826789,0.9975017640625075,1.0,1.0,1.0,1.0,1.0,1.0
